Model,Lead,Stroke,RPM
ECB22,40,2950,3600
ECB22,40,3600,3600
ECB22,40,3050,3600
ECB22,40,3100,3600
ECB22,40,3150,3600
ECB22,40,3200,3600
ECB22,40,3250,3600
ECB22,40,3300,3600
ECB22,40,3350,3600
ECB22,40,3400,3600
ECB22,40,3450,3600
ECB22,40,3500,3600
MG65,90,300,3600
MG65,90,350,3600
MG65,90,400,3600
MG65,90,450,3600
MG65,90,500,3600
MG65,90,550,3600
MG65,90,600,3600
MG65,90,650,3600
MG65,90,700,3600
MG65,90,750,3600
MG65,90,800,3600
MG65,90,850,3600
MG65,90,900,3600
MG65,90,950,3600
MG65,90,1000,3600
MG65,90,1050,3600
MG65,90,1100,3600
MG65,90,1150,3600
MG65,90,1200,3600
MG65,90,1250,3600
MG65,90,1300,3600
MG65,90,1350,3600
MG65,90,1400,3600
MG65,90,1450,3600
MG65,90,1500,3600
MG65,90,1550,3600
MG65,90,1600,3600
MG65,90,1650,3600
MG65,90,1700,3600
MG65,90,1750,3600
MG65,90,1800,3600
MG65,90,1850,3600
MG65,90,1900,3600
MG65,90,1950,3600
MG65,90,2000,3600
MG65,90,2050,3600
MG65,90,2100,3600
MG65,90,2150,3600
MG65,90,2200,3600
MG65,90,2250,3600
MG65,90,2300,3600
MG65,90,2350,3600
MG65,90,2400,3600
MG65,90,2450,3600
MG65,90,2500,3600
MG65,90,2550,3600
MG65,90,2600,3600
MG65,90,2650,3600
MG65,90,2700,3600
MG65,90,2750,3600
MG65,90,2800,3600
MG65,90,2850,3600
MG65,90,2900,3600
MG65,90,2950,3600
MG65,90,3000,3600
MG65,90,3050,3600
MG65,90,3100,3600
MG65,90,3150,3600
MG65,90,3200,3600
MG65,90,3250,3600
MG65,90,3300,3600
MG65,90,3350,3600
MG65,90,3400,3600
MG65,90,3450,3600
MG65,90,3500,3600
MG65,90,3550,3600
MG65,90,3600,3600
MG65,90,3650,3600
MG65,90,3700,3600
